system:time_start,dominant_class
"Jan 1, 2000",1.24
"Jan 1, 2001",1.243
"Jan 1, 2002",1.288
"Jan 1, 2003",1.301
"Jan 1, 2004",1.315
"Jan 1, 2005",1.324
"Jan 1, 2006",1.32
"Jan 1, 2007",1.318
"Jan 1, 2008",1.331
"Jan 1, 2009",1.325
"Jan 1, 2010",1.291
"Jan 1, 2011",1.259
"Jan 1, 2012",1.251
"Jan 1, 2013",1.255
"Jan 1, 2014",1.275
"Jan 1, 2015",1.289
"Jan 1, 2016",1.326
"Jan 1, 2017",1.335
"Jan 1, 2018",1.344
"Jan 1, 2019",1.339
"Jan 1, 2020",1.342
"Jan 1, 2021",1.321
"Jan 1, 2022",1.297
